Nome BOT,ISIN,DATA EMISSIONE,PREZZO EMISSIONE,SCADENZA
Bot Zc Feb25 A Eur,IT0005582868,14/02/2024,96.543,14/02/2025
Bot Zc Mar25 A Eur,IT0005586349,14/03/2024,96.530,14/03/2025
Bot Zc Mar25 S Eur,IT0005614182,27/09/2024,98.451,31/03/2025
Bot Zc Apr25 A Eur,IT0005592370,12/04/2024,96.524,14/04/2025
Bot Zc May25 A Eur,IT0005595605,14/05/2024,96.530,14/05/2025
Bot Zc May25 S Eur,IT0005624447,28/11/2024,98.642,30/05/2025
Bot Zc Jun25 A Eur,IT0005599474,14/06/2024,96.503,13/06/2025
Bot Zc Jul25 A Eur,IT0005603342,11/07/2024,96.571,14/07/2025
Bot Zc Jul25 S Eur,IT0005633786,30/01/2025,98.741,31/07/2025
Bot Zc Aug25 A Eur,IT0005610297,12/08/2024,96.941,14/08/2025
Bot Zc Sep25 A Eur,IT0005611659,12/09/2024,97.159,12/09/2025
Bot Zc Oct25 A Eur,IT0005617367,11/10/2024,97.183,14/10/2025
Bot Zc Nov25 A Eur,IT0005621401,13/11/2024,97.340,14/11/2025
Bot Zc Dec25 A Eur,IT0005627853,12/12/2024,97.620,12/12/2025
Bot Zc Jan26 A Eur,IT0005631533,13/01/2025,97.512,14/01/2026