Data,FOI,NIC,IPCA
2025-05-01,121.2,122.5,124.8
2025-04-01,121.4,122.6,124.9
2025-03-01,121.5,122.5,124.4
2025-02-01,121.2,122.1,122.5
2025-01-01,120.9,121.9,122.4
2024-12-01,120.2,121.2,123.4
2024-11-01,120.0,121.1,123.3
2024-10-01,120.0,121.2,123.4
2024-09-01,120.0,121.2,123.0
2024-08-01,120.1,121.4,121.6
2024-07-01,120.0,121.2,121.8
2024-06-01,119.5,120.7,122.9
2024-05-01,119.5,120.6,122.7
2024-04-01,119.3,120.3,122.4
2024-03-01,119.3,120.2,121.8
2024-02-01,119.3,120.2,120.4
2024-01-01,119.2,120.1,120.4
2023-12-01,118.8,119.7,121.7
2023-11-01,118.6,119.5,121.5
2023-10-01,119.1,120.1,122.2
2023-09-01,119.2,120.3,122.1
2023-08-01,119.0,120.1,120.1
2023-07-01,118.6,119.7,119.9
2023-06-01,118.5,119.7,121.8
2023-05-01,118.5,119.7,121.7